,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
2824,0,12,25,4,0,0,2.0,0.0,0,122,17.0,8.0,14.0,4.0,6.0,6.0,13.0,12.0,1.0,2.0,0.0,0.0
2825,0,13,41,4,2,0,1.0,0.0,0,54,17.0,12.0,10.0,5.0,7.0,7.0,19.0,14.0,1.0,2.0,0.0,0.0
2826,0,14,27,1,3,2,1.0,1.0,1,15,6.0,16.0,3.0,9.0,8.0,4.0,15.0,21.0,5.0,3.0,1.0,0.0
2827,0,16,34,2,2,1,1.0,2.0,2,10,6.0,13.0,4.0,6.0,5.0,8.0,11.0,13.0,1.0,1.0,0.0,0.0
2828,0,22,17,2,0,0,2.0,0.0,0,38,17.0,12.0,8.0,6.0,6.0,4.0,21.0,20.0,1.0,3.0,0.0,0.0
2829,0,23,1,0,0,1,0.0,0.0,1,91,5.0,5.0,4.0,3.0,5.0,4.0,12.0,12.0,2.0,3.0,0.0,0.0
2830,0,24,7,1,0,0,0.0,0.0,1,108,16.0,3.0,10.0,2.0,6.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0
2831,0,36,0,1,0,0,0.0,0.0,1,135,8.0,14.0,2.0,7.0,2.0,9.0,10.0,21.0,3.0,1.0,0.0,1.0
2832,0,38,21,3,1,0,2.0,1.0,0,9,20.0,15.0,6.0,5.0,3.0,4.0,14.0,13.0,0.0,0.0,0.0,0.0
2833,0,26,28,2,0,0,1.0,0.0,0,136,19.0,9.0,9.0,6.0,7.0,1.0,7.0,13.0,0.0,1.0,0.0,0.0
2834,0,0,24,2,0,0,1.0,0.0,0,55,17.0,7.0,12.0,4.0,10.0,11.0,25.0,20.0,2.0,4.0,1.0,2.0
2835,0,7,13,2,0,0,1.0,0.0,0,87,12.0,14.0,3.0,6.0,6.0,4.0,14.0,16.0,0.0,1.0,0.0,0.0
2836,0,21,26,1,1,1,1.0,1.0,1,66,13.0,15.0,8.0,6.0,4.0,6.0,10.0,7.0,1.0,4.0,0.0,0.0
2837,0,27,38,1,1,1,0.0,1.0,2,110,12.0,11.0,6.0,4.0,5.0,5.0,9.0,18.0,2.0,1.0,0.0,0.0
2838,0,17,12,3,0,0,0.0,0.0,1,11,13.0,8.0,8.0,4.0,3.0,5.0,17.0,15.0,2.0,1.0,0.0,1.0
2839,0,25,36,4,2,0,2.0,0.0,0,36,15.0,9.0,10.0,4.0,7.0,3.0,24.0,14.0,3.0,3.0,0.0,0.0
2840,0,28,16,3,2,0,1.0,1.0,1,38,9.0,10.0,4.0,5.0,9.0,6.0,23.0,11.0,0.0,3.0,1.0,0.0
